OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-262758082062400,BASIN SOIL CORE A AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46619444000000,-82.1067138900000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180926,,,3.28,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-262758082062900,FRINGE SOIL CORE B AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46601944000000,-82.1080694000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180927,,,3.28,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-262759082062400,FRINGE SOIL CORE A AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46651110000000,-82.1067972000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180926,,,3.28,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-262802082063700,BASIN SOIL CORE B AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46720556000000,-82.1103083000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180926,,,3.28,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-262803082064200,BASIN SOIL CORE C AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46761110000000,-82.1117138900000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180927,,,3.28,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-262806082064700,FRINGE SOIL CORE C AT DING DARLING NWR SANIBEL FL,Land: Soil hole,,03100103,,,,,26.46842778000000,-82.1130806000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,12,071,,,,,20180927,,,3.28,ft,NWIS
USGS-FL,USGS Florida Water Science Center,FL051-263740081484001,WELL 4 - FORT MYERS,Well,,03090204,,,,,26.62812830000000,-81.8109179000000,,.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,33,ft,33,ft,NWIS
USGS-FL,USGS Florida Water Science Center,FL051-263742081484001,WELL 3 - FORT MYERS,Well,,03090204,,,,,26.62868386000000,-81.8109179000000,,.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,33,ft,33,ft,NWIS
USGS-FL,USGS Florida Water Science Center,FL051-263745081484001,WELL 2 - FORT MYERS,Well,,03090204,,,,,26.62951715000000,-81.8109179000000,,.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,33,ft,33,ft,NWIS
USGS-FL,USGS Florida Water Science Center,FL051-263746081484001,WELL 1 - FORT MYERS,Well,,03090204,,,,,26.62979490000000,-81.8109179000000,,.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,33,ft,33,ft,NWIS
